epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,8095.95,0.56868,0.40184,1.04937,0.96807,0.976,0.9846,0.89751,0.47198,0.24087,0.98097,0.003466,0.003466,0.003466
134,8156.67,0.56829,0.40789,1.05077,0.96883,0.97462,0.98455,0.89734,0.472,0.24077,0.98109,0.0034165,0.0034165,0.0034165
135,8217.3,0.55845,0.39741,1.04417,0.97009,0.97366,0.98453,0.89777,0.47199,0.24054,0.98133,0.003367,0.003367,0.003367
136,8278.16,0.56516,0.40148,1.04748,0.9703,0.97341,0.98456,0.89771,0.47205,0.24032,0.98161,0.0033175,0.0033175,0.0033175
137,8338.88,0.55986,0.39457,1.04662,0.97059,0.97347,0.98466,0.89763,0.47161,0.24019,0.98128,0.003268,0.003268,0.003268
138,8399.63,0.55685,0.40126,1.04821,0.97049,0.97411,0.9846,0.89795,0.47167,0.24005,0.98133,0.0032185,0.0032185,0.0032185
139,8460.45,0.55709,0.39904,1.04418,0.97044,0.97367,0.98447,0.8979,0.47168,0.23992,0.98135,0.003169,0.003169,0.003169
140,8521.31,0.5581,0.39881,1.04538,0.97028,0.97368,0.98458,0.8979,0.47164,0.2399,0.98143,0.0031195,0.0031195,0.0031195
141,8582.09,0.55573,0.39669,1.04369,0.96993,0.974,0.98454,0.89759,0.47178,0.2394,0.9815,0.00307,0.00307,0.00307
142,8642.87,0.55918,0.39476,1.04279,0.96954,0.97487,0.98456,0.89768,0.47208,0.23945,0.9816,0.0030205,0.0030205,0.0030205
143,8703.49,0.55296,0.39105,1.04022,0.96938,0.97549,0.98465,0.89785,0.47201,0.23928,0.98167,0.002971,0.002971,0.002971
144,8764.18,0.54953,0.38599,1.04024,0.96955,0.97509,0.98461,0.89779,0.47171,0.23875,0.98125,0.0029215,0.0029215,0.0029215
145,8824.99,0.55224,0.38545,1.04164,0.96871,0.97656,0.98462,0.89769,0.47164,0.23857,0.98124,0.002872,0.002872,0.002872
146,8885.91,0.54817,0.3873,1.04014,0.96882,0.97699,0.98464,0.89795,0.47155,0.23826,0.98111,0.0028225,0.0028225,0.0028225
147,8946.97,0.54093,0.38213,1.03442,0.9689,0.97696,0.98455,0.89809,0.47158,0.2384,0.98111,0.002773,0.002773,0.002773
