epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,13049.6,0.65553,0.47992,1.09792,0.96484,0.97338,0.98063,0.88159,0.49465,0.25771,0.99611,0.0057925,0.0057925,0.0057925
87,13201.1,0.66117,0.48681,1.10227,0.96396,0.97355,0.98051,0.88184,0.49425,0.25692,0.99573,0.005743,0.005743,0.005743
88,13352.9,0.65535,0.48295,1.09438,0.96411,0.97387,0.98068,0.88214,0.49389,0.25682,0.99548,0.0056935,0.0056935,0.0056935
89,13504.6,0.66174,0.48219,1.09955,0.96612,0.97171,0.98125,0.88267,0.49332,0.25627,0.99511,0.005644,0.005644,0.005644
90,13656.4,0.65222,0.47869,1.09733,0.96651,0.97167,0.98081,0.88265,0.49283,0.25567,0.99494,0.0055945,0.0055945,0.0055945
91,13808.1,0.65589,0.48076,1.09931,0.96724,0.97164,0.98137,0.8828,0.49231,0.25552,0.99475,0.005545,0.005545,0.005545
92,13959.8,0.65769,0.48297,1.09925,0.96547,0.97397,0.98155,0.88305,0.49201,0.25528,0.99463,0.0054955,0.0054955,0.0054955
93,14111.2,0.65697,0.48129,1.09667,0.96582,0.97359,0.98145,0.88338,0.49132,0.25466,0.99425,0.005446,0.005446,0.005446
94,14262.8,0.6456,0.47588,1.08983,0.96613,0.97342,0.98153,0.88358,0.49101,0.25479,0.99414,0.0053965,0.0053965,0.0053965
95,14414.4,0.65024,0.47663,1.09712,0.96713,0.97236,0.98144,0.88415,0.49053,0.25375,0.99376,0.005347,0.005347,0.005347
96,14565.7,0.6406,0.46201,1.09151,0.96675,0.97214,0.98143,0.8843,0.49016,0.25333,0.99354,0.0052975,0.0052975,0.0052975
97,14717.1,0.64794,0.47136,1.09087,0.9665,0.973,0.98162,0.88424,0.48959,0.25306,0.99317,0.005248,0.005248,0.005248
98,14868.6,0.6444,0.47007,1.09391,0.96615,0.974,0.98177,0.88454,0.48934,0.2526,0.99309,0.0051985,0.0051985,0.0051985
99,15020.1,0.64011,0.46768,1.08923,0.96564,0.97426,0.98186,0.88503,0.48901,0.25227,0.99277,0.005149,0.005149,0.005149
100,15171.6,0.63417,0.46276,1.08325,0.96596,0.97408,0.98131,0.88502,0.48851,0.25191,0.99236,0.0050995,0.0050995,0.0050995
101,15323.3,0.63468,0.46769,1.08835,0.96586,0.97425,0.98199,0.88568,0.48817,0.25157,0.99201,0.00505,0.00505,0.00505
102,15474.9,0.6371,0.46833,1.08877,0.96618,0.97425,0.9814,0.88595,0.48773,0.25117,0.99169,0.0050005,0.0050005,0.0050005
103,15626.5,0.63845,0.46531,1.09174,0.96673,0.97494,0.98216,0.88671,0.48709,0.25032,0.99126,0.004951,0.004951,0.004951
104,15778.1,0.63298,0.4596,1.08668,0.96645,0.97482,0.98213,0.88649,0.48667,0.24997,0.99101,0.0049015,0.0049015,0.0049015
105,15929.6,0.63308,0.45948,1.09103,0.96654,0.97418,0.9821,0.88661,0.48634,0.24994,0.99073,0.004852,0.004852,0.004852
106,16080.9,0.62899,0.4592,1.08664,0.97048,0.96911,0.98152,0.88683,0.48596,0.24953,0.99041,0.0048025,0.0048025,0.0048025
107,16232.5,0.62444,0.44891,1.07918,0.97046,0.96858,0.9817,0.88751,0.48578,0.2496,0.99021,0.004753,0.004753,0.004753
108,16384.1,0.62206,0.44787,1.0806,0.9707,0.96895,0.98177,0.88776,0.4858,0.24878,0.99018,0.0047035,0.0047035,0.0047035
109,16535.6,0.62042,0.45084,1.07634,0.97071,0.96917,0.98191,0.88795,0.48541,0.24857,0.99001,0.004654,0.004654,0.004654
110,16687.2,0.62243,0.45076,1.07945,0.96728,0.97345,0.98194,0.88824,0.4851,0.24837,0.98974,0.0046045,0.0046045,0.0046045
111,16838.8,0.61865,0.44821,1.07916,0.96557,0.97402,0.98165,0.88831,0.4848,0.24813,0.98953,0.004555,0.004555,0.004555
112,16990.4,0.62052,0.44879,1.0794,0.96864,0.97091,0.98163,0.88851,0.4843,0.2484,0.98914,0.0045055,0.0045055,0.0045055
113,17142,0.61505,0.44304,1.07496,0.96685,0.97344,0.98169,0.88908,0.4841,0.24802,0.98898,0.004456,0.004456,0.004456
114,17293.7,0.61891,0.44376,1.07484,0.96702,0.97299,0.98178,0.8893,0.4839,0.24795,0.98897,0.0044065,0.0044065,0.0044065
115,17445.3,0.61229,0.43978,1.07495,0.96808,0.97299,0.98168,0.8891,0.48365,0.24776,0.98893,0.004357,0.004357,0.004357
116,17596.8,0.61331,0.43561,1.07197,0.96837,0.97299,0.98233,0.88945,0.48315,0.24723,0.98851,0.0043075,0.0043075,0.0043075
117,17748.3,0.60719,0.43873,1.0681,0.96826,0.97267,0.9823,0.88981,0.48262,0.24724,0.98819,0.004258,0.004258,0.004258
118,17900,0.61142,0.43986,1.07319,0.96837,0.97259,0.98236,0.88999,0.48226,0.24676,0.98787,0.0042085,0.0042085,0.0042085
119,18051.6,0.61212,0.44007,1.07528,0.96859,0.97297,0.98235,0.89032,0.48202,0.24659,0.98777,0.004159,0.004159,0.004159
120,18203.2,0.60735,0.42698,1.07555,0.96828,0.97293,0.98204,0.89067,0.48167,0.24629,0.9876,0.0041095,0.0041095,0.0041095
121,18354.9,0.60412,0.43734,1.07061,0.96809,0.97235,0.98203,0.8909,0.4812,0.2459,0.98729,0.00406,0.00406,0.00406
122,18506.5,0.6072,0.43347,1.07013,0.96766,0.97192,0.98206,0.89123,0.48082,0.24544,0.98714,0.0040105,0.0040105,0.0040105
123,18658.1,0.60193,0.43561,1.06954,0.96844,0.97202,0.98216,0.89142,0.48041,0.24531,0.98682,0.003961,0.003961,0.003961
124,18809.6,0.59501,0.42886,1.06245,0.96856,0.97174,0.98228,0.89137,0.47998,0.2448,0.98657,0.0039115,0.0039115,0.0039115
125,18961.2,0.59716,0.42229,1.06484,0.96871,0.97181,0.98227,0.89174,0.47955,0.24352,0.98638,0.003862,0.003862,0.003862
126,19112.9,0.59877,0.42636,1.06709,0.96888,0.97138,0.98223,0.89221,0.47907,0.24349,0.98625,0.0038125,0.0038125,0.0038125
127,19264.4,0.59617,0.43148,1.06494,0.96866,0.97183,0.98218,0.89243,0.47891,0.24353,0.98622,0.003763,0.003763,0.003763
128,19416.2,0.59536,0.42187,1.06364,0.96857,0.97198,0.98223,0.89254,0.47827,0.24329,0.98588,0.0037135,0.0037135,0.0037135
129,19567.9,0.59054,0.42131,1.05945,0.96855,0.97215,0.98221,0.89284,0.47798,0.24283,0.98566,0.003664,0.003664,0.003664
130,19719.7,0.58788,0.42094,1.06095,0.96903,0.97206,0.98224,0.89247,0.47775,0.24267,0.98554,0.0036145,0.0036145,0.0036145
131,19871.2,0.58657,0.41708,1.05885,0.96957,0.9726,0.98225,0.89276,0.47722,0.2424,0.9852,0.003565,0.003565,0.003565
132,20022.8,0.58992,0.41483,1.0626,0.96967,0.9726,0.98228,0.89291,0.47688,0.24202,0.98499,0.0035155,0.0035155,0.0035155
133,20174.4,0.58262,0.40607,1.05359,0.96936,0.97271,0.98227,0.89334,0.47656,0.24186,0.98466,0.003466,0.003466,0.003466
134,20325.8,0.58722,0.41378,1.05813,0.96927,0.97264,0.98238,0.89343,0.47602,0.24187,0.98428,0.0034165,0.0034165,0.0034165
